"","cell_id","region","tile_num","x","y","z","x_tile","y_tile","size","DAPI2","IBA1","F4.80","Cld4","DAPI3","Cyp27a1p2","Olfm4","CD45","Ki67","Vimentin","CD19","BrdU","Lysozyme","Villin","ARG1","Cyp27a1","SMA","tsne_x","tsne_y","homogeneity"
"45541",50254,1,124,6425,16503,0,893,1751,1145,3299.47680664062,124.558074951172,49.1222724914551,505.427947998047,2949.43408203125,12.4113540649414,188.678604125977,658.993041992188,157.422714233398,251.38427734375,357.536254882812,138.228820800781,2056.7841796875,1367.29174804688,190.285583496094,71.2899551391602,221.497817993164,-4.09044456481934,-5.52720975875854,3.64314436912537
"255309",308781,1,18,22730,3596,0,602,1752,714,5239.56884765625,3296.69604492188,47.5784301757812,253.619049072266,4381.4580078125,27.8137264251709,31.7450981140137,359.488800048828,76.3333358764648,986.109252929688,270.959381103516,112.138656616211,750.522399902344,542.88232421875,192.065826416016,83.1498565673828,57.5490188598633,-12.2608127593994,-2.27278876304626,3.36528730392456
"89033",102681,1,115,9529,13127,0,309,219,959,5269.2451171875,2463.5087890625,43.0010414123535,221.253387451172,4563.3408203125,18.9113655090332,30.5912399291992,475.678833007812,41.2815437316895,1095.10327148438,255.239837646484,169.175186157227,926.360778808594,1763.80395507812,168.588119506836,85.1699676513672,1373.6455078125,-11.6866521835327,-0.445016175508499,3.55117154121399
"248901",301203,1,139,21735,18213,0,1451,1617,608,3585.4326171875,73.0444107055664,46.7203941345215,298.069091796875,3281.54614257812,20.4375,54.0213813781738,680.817443847656,45.9884872436523,212.409545898438,332.069091796875,119.644737243652,991.004943847656,3412.3486328125,262.473693847656,98.5838851928711,45.3305931091309,-2.47056174278259,11.1944961547852,3.47530627250671
"28441",30916,1,153,4343,19867,0,655,1427,805,7597.97900390625,137.232299804688,57.3254661560059,442.535400390625,7440.45703125,39.9714279174805,56.6571426391602,1002.80126953125,173.546585083008,58.08447265625,591.091918945312,224.536651611328,993.799987792969,2628.91186523438,324.576385498047,148.204971313477,52.4720497131348,5.33092546463013,-3.59889483451843,3.25191283226013
"195870",235014,1,130,18015,16443,0,1419,1691,469,3962.89990234375,282.029846191406,33.9616203308105,193.622604370117,3474.84643554688,10.4562902450562,121.046905517578,251.351806640625,72.2537307739258,1118.55432128906,117.906181335449,83.0255889892578,421.535186767578,602.338989257812,102.176971435547,38.7739868164062,2162.06396484375,-9.21772003173828,1.256227850914,3.50552463531494
"259264",313424,1,48,22667,6077,0,539,545,1576,4825.8603515625,117.771575927734,58.1173858642578,261.062194824219,3967.07934570312,25.4714469909668,39.9454307556152,575.513977050781,62.8667526245117,93.4244918823242,383.992370605469,133.945434570312,409.021575927734,2343.46826171875,215.027282714844,91.4727172851562,65.4111709594727,5.50068235397339,-9.98621273040771,3.35491275787354
"217566",262072,1,101,20283,12075,0,1843,1011,331,5159.287109375,1036.40783691406,38.3081588745117,179.190338134766,4963.39892578125,12.465256690979,67.0936584472656,503.045318603516,1043.646484375,800.933532714844,281.800598144531,140.969787597656,619.271911621094,677.190307617188,179.102722167969,84.7854995727539,3656.11474609375,0.632764458656311,7.33184719085693,3.5097668170929
"29686",32248,1,34,6040,5466,0,508,1778,1324,4733.32470703125,93.3874588012695,41.142749786377,494.632934570312,3741.65551757812,12.3466768264771,4248.095703125,806.3232421875,139.41389465332,226.567977905273,277.638977050781,294.337615966797,4260.1123046875,708.026428222656,171.988677978516,77.8610305786133,697.6767578125,-10.0950555801392,-9.72449111938477,3.55622887611389
"191247",228725,1,100,17100,12412,0,504,1348,2066,5335.923828125,692.597778320312,46.22216796875,185.037750244141,4720.92578125,23.0096797943115,67.8063888549805,405.361572265625,341.729431152344,1554.64184570312,267.939483642578,104.359634399414,582.793823242188,307.840759277344,689.841247558594,76.8572082519531,2375.80541992188,-9.41028690338135,4.71325397491455,3.46659135818481
"80779",92959,1,55,11024,6901,0,1804,1369,2048,4779.21484375,75.818359375,43.12939453125,148.6103515625,4205.7119140625,14.9501953125,32.625,401.41455078125,39.2802734375,59.78662109375,227.8515625,138.7158203125,482.3935546875,3785.24462890625,143.234375,85.7783203125,70.39990234375,-7.67024278640747,13.282322883606,3.3314893245697
"280889",339968,1,44,25017,4900,0,1045,1212,1180,6413.94580078125,155.705932617188,67.7805099487305,671.936462402344,5195.376953125,16.9957618713379,1911.93383789062,745.634765625,1709.59326171875,154.988128662109,439.240692138672,229.217803955078,704.752563476562,1780.93640136719,335.229675292969,124.493217468262,159.883895874023,-10.2296466827393,-5.17723369598389,3.44372200965881
"184403",220033,1,51,16859,6466,0,263,934,1391,6743.9951171875,133.436370849609,62.2185478210449,362.100646972656,6139.21435546875,23.3680801391602,102.574409484863,1139.68505859375,40.633358001709,188.191223144531,835.15673828125,134.416244506836,1140.00427246094,2653.23291015625,267.146667480469,126.672897338867,166.700927734375,4.83853006362915,-2.83580136299133,3.31013488769531
"269733",326389,1,108,23675,13948,0,1547,1040,2693,5408.69482421875,1397.09130859375,58.2606773376465,213.222793579102,5181.67822265625,22.1700706481934,42.3564796447754,489.321960449219,107.969924926758,777.736694335938,287.478637695312,162.944305419922,958.215026855469,1012.52319335938,166.856292724609,87.150016784668,1603.90905761719,-9.14197158813477,2.55406665802002,3.43134212493896
"303152",366524,1,76,26452,10398,0,636,1178,1515,6814.576171875,165.835647583008,52.2171630859375,270.296356201172,6080.45458984375,16.9174919128418,806.281860351562,468.720794677734,571.502319335938,333.411895751953,283.516174316406,158.115509033203,893.601989746094,1154.12939453125,175.291091918945,95.7234344482422,1012.47393798828,-2.06853699684143,-0.679954051971436,3.28472948074341
"171763",204995,1,142,16304,16599,0,1552,3,1154,4485.2060546875,141.370010375977,51.3908157348633,429.74609375,4072.18627929688,23.2097053527832,102.396011352539,785.377807617188,31.1733093261719,161.123046875,587.816284179688,106.74870300293,798.436767578125,1447.20361328125,160.010391235352,81.2079696655273,238.026000976562,2.28500199317932,-3.13582611083984,3.41218018531799
"47106",52061,1,147,6025,17007,0,493,411,1191,9044.5595703125,152.705291748047,58.9563407897949,474.562561035156,8749.703125,17.9798488616943,4346.43505859375,1156.08483886719,3351.04028320312,253.845504760742,725.130126953125,239.390426635742,1267.59777832031,2003.41479492188,318.606201171875,132.669189453125,105.329971313477,-14.4704179763794,-2.20329880714417,3.41586470603943
"118017",138992,1,144,11364,18325,0,300,1729,958,6013.51171875,74.9822540283203,47.1106452941895,300.662841796875,6375.43505859375,16.5375785827637,93.2526092529297,1048.81420898438,2247.47192382812,86.4446792602539,588.063659667969,182.181625366211,658.312133789062,1009.74945068359,181.275573730469,108.574111938477,937.236938476562,12.1896343231201,2.61497139930725,3.35058760643005
"219530",264833,1,131,18716,16454,0,276,1702,1800,6713.28173828125,172.352783203125,35.3494453430176,445.797790527344,5597.3974609375,20.5761108398438,2040.56555175781,897.277770996094,173.039993286133,325.313903808594,488.954986572266,202.326110839844,1359.48498535156,1497.85339355469,199.568328857422,98.4577789306641,139.448883056641,-8.89104175567627,-6.46652555465698,3.38209462165833
"226178",272754,1,161,20215,18538,0,1775,98,469,6774.97216796875,163.76545715332,35.541576385498,176.95735168457,6268.23681640625,18.6801700592041,31.3901920318604,325.562896728516,41.6055450439453,1635.04052734375,220.594879150391,79.9701461791992,520.437072753906,1022.72497558594,173.810241699219,136.722808837891,2439.40087890625,-8.63550472259521,5.16513872146606,3.2926971912384
"264306",319723,1,78,23133,10285,0,1005,1065,1353,3475.02075195312,79.3333358764648,53.1714706420898,239.575759887695,3003.96020507812,16.4693279266357,36.6060600280762,537.929809570312,65.7930526733398,50.2328147888184,275.764221191406,156.997039794922,649.838134765625,2176.46337890625,195.570587158203,84.9120483398438,83.3362884521484,1.73087811470032,-9.50428199768066,3.48437976837158
"18987",20856,1,152,3589,19495,0,1745,1055,1104,6331.42138671875,219.173004150391,65.0298919677734,561.951965332031,6948.97265625,25.706521987915,148.653991699219,1234.17211914062,1076.35961914062,177.245468139648,730.704711914062,250.19384765625,1332.61779785156,2760.662109375,589.023559570312,151.79167175293,149.762680053711,8.42181777954102,-0.95747047662735,3.40583300590515
"260968",315362,1,48,23944,5610,0,1816,78,696,2621.65234375,146.16667175293,46.3591957092285,257.235626220703,2986.1982421875,9.87787342071533,355.139373779297,485.05029296875,1416.30310058594,142.801727294922,224.086212158203,148.021545410156,425.712646484375,1343.69396972656,155.69108581543,63.8477020263672,57.2974128723145,9.64858150482178,3.12777233123779,3.52376508712769
"268110",324454,1,108,22499,13316,0,371,408,265,2962.87548828125,493.935852050781,36.0226402282715,122.68302154541,3351.07934570312,33.0679244995117,41.1433944702148,324.26416015625,121.962265014648,444.411315917969,137.932067871094,158.467926025391,426.128295898438,994.003784179688,113.411323547363,66.7433929443359,1025.32080078125,-2.93560719490051,3.37234115600586,3.48625779151917
"89879",103710,1,115,10494,12974,0,1274,66,1160,3442.94311523438,88.1137924194336,51.6068954467773,809.825012207031,3199.85522460938,23.0258617401123,955.61376953125,619.703430175781,657.135314941406,416.909484863281,314.466369628906,169.901718139648,762.647399902344,1333.82495117188,163.806030273438,72.4413757324219,597.056884765625,-0.963052809238434,-1.509117603302,3.73025989532471
"127960",150443,1,23,13837,3240,0,929,1396,382,4892.2041015625,342.180633544922,41.7539253234863,85.8115158081055,4998.5263671875,14.0680627822876,47.6649208068848,256.154449462891,527.712036132812,766.484313964844,142.539260864258,125.743453979492,325.651824951172,535.107299804688,67.90576171875,75.835075378418,179.90837097168,-0.313221901655197,5.72663593292236,3.22441363334656
